,chemicalFormula Clean,index,Band gap values Clean,Reliability
383,Sm2S3,1128.0,3.0,1.0
384,Sm2Se3,1133.0,2.3,1.0
385,Sn,984.0,0.075,1.0
386,Sn1Br2,982.0,3.4,1.0
387,Sn1Cl2,970.0,3.9,1.0
388,Sn1I2,993.0,2.4,1.0
389,Sn1I4,992.0,2.38,1.0
390,Sn1O2,948.5,3.5,1.0
391,Sn1S1,966.0,1.08,1.0
392,Sn1S2,964.5,2.4749999999999996,1.0
393,Sn1Se1,973.5,1.055,1.0
394,Sn1Se2,971.5,1.5,1.0
395,Sn1Te1,987.0,0.18,1.0
396,Sr1O1,716.0,5.77,1.0
397,Sr1S1,719.0,4.76,1.0
398,Sr1Se1,721.0,4.42,1.0
399,Sr1Te1,723.0,3.73,1.0
400,Ta1S2,1212.0,0.1,1.0
401,Ta2O5,1211.0,4.6,1.0
402,TaN,1210.0,2.3,1.0
403,Tb1O2,1169.0,0.5,1.0
404,Tb2O3,1170.0,0.95,1.0
405,Tb4O7,1171.0,0.4,1.0
406,Te,1023.0,0.332,1.0
407,Te1I1,1035.0,1.1,1.0
408,Te1O2,1022.0,3.0,1.0
409,Th1O2,1448.5,4.625,1.0
410,Ti1C0.9,285.0,0.3,1.0
411,Ti1O2,287.5,3.15,1.0
412,Ti1S2,295.0,1.24,1.0
413,Ti1S3,297.0,0.9,1.0
414,Ti1Se2,299.0,0.69,1.0
415,Ti1Te2,301.0,1.0,1.0
416,Ti2O3,286.0,0.04,1.0
417,Ti2S3,296.0,0.3,1.0
418,Tl1Br1,1309.0,3.05,1.0
419,Tl1Cl1,1298.0,3.56,1.0
420,Tl1I1,1318.0,2.67,1.0
421,Tl1N3,1291.0,3.58,1.0
422,Tl1S1,1294.0,1.36,1.0
423,Tl1Se1,1302.0,0.73,1.0
424,Tl2O3,1292.5,1.825,1.0
425,Tl2Te1,1314.0,0.5,1.0
426,Tl2Te3,1313.0,0.7,1.0
427,Tm1As1,1195.0,1.18,1.0
428,U1O2,1456.0,2.18,1.0
429,UO,1455.0,1.5,1.0
430,V1O1,302.0,0.3,1.0
431,V1O2,305.0,0.65,1.0
432,V2O3,303.0,0.1,1.0
433,V2O4,306.0,0.66,1.0
434,V2O5,304.0,2.34,1.0
435,V4O7,308.0,0.8,1.0
436,V5O9,307.0,0.15,1.0
437,W1O3,1213.0,2.8,1.0
438,W1S2,1216.0,1.1,1.0
439,W1Se2,1218.0,1.35,1.0
440,W1Te2,1223.0,0.05,1.0
441,Y1N1,725.0,1.9,1.0
442,Y2O3,726.0,5.6,1.0
443,Yb1As1,1200.0,1.02,1.0
444,Yb1Sb1,1201.0,1.0,1.0
445,Yb2O3,1196.0,2.99,1.0
446,YbS,1198.0,0.33,1.0
447,Zn1As2,441.0,0.9,1.0
448,Zn1I2,485.0,4.53,1.0
449,Zn1O1,424.0,3.35,1.0
450,Zn1P2,430.75,1.9275,1.0
451,Zn1S1,434.0,3.87,1.0
452,Zn1Sb1,453.5,0.745,1.0
453,Zn1Se1,447.0,2.67,1.0
454,Zn1Te1,472.0,2.25,1.0
455,Zn3As2,442.0,0.93,1.0
456,Zn3P2,432.0,1.15,1.0
457,Zn3Sb2,455.0,0.22,1.0
458,Zn4Sb3,456.0,1.2,1.0
459,Zr1O2,731.0,4.99,1.0
460,Zr1S2,734.5,2.215,1.0
461,Zr1S3,736.0,2.17,1.0
462,Zr1Se2,739.0,2.0,1.0
463,Zr1Se3,740.0,1.25,1.0
464,Zr3O1,730.0,0.2,1.0
465,Zr6O1,729.0,0.18,1.0
466,ZrC,728.0,0.6,1.0
